DOI,YEAR,MATERIAL,PRECURSOR,Synthesis_Method,Size_nm,Plant Extract Type,Bacterial Strain,Inhibition Zone (mm),MIC(ug/ml),MBC,ROS Generation,Gram Status,Resistant Type,IZ_Censored
10.1016/j.carbon.2021.10.020,2021,Carbon NPs,Carbon source,Hydrothermal,7.0,Unknown,S. aureus ,20.0,0.125,130.0,Yes,Gram-positive,Unknown,Unknown
10.1016/j.carbon.2021.10.020,2021,Carbon NPs,Carbon source,Hydrothermal,7.0,Unknown,Other,20.0,0.5,130.0,Yes,Gram-positive,Unknown,Unknown
10.1016/j.carbon.2021.10.020,2021,Carbon NPs,Carbon source,Hydrothermal,7.0,Unknown,Other,20.0,0.5,130.0,Yes,Gram-positive,Unknown,Unknown
10.1016/j.carbon.2021.10.020,2021,Carbon NPs,Carbon source,Hydrothermal,7.0,Unknown,Other,20.0,0.5,130.0,Yes,Gram-positive,Unknown,Unknown
10.1016/j.carbon.2021.10.020,2021,Carbon NPs,Carbon source,Hydrothermal,7.0,Unknown,Other,20.0,0.25,130.0,Yes,Gram-positive,MRSA,Unknown
10.1016/j.carbon.2021.10.020,2021,Carbon NPs,Carbon source,Hydrothermal,7.0,Unknown,E. coli ,20.0,0.125,130.0,Yes,Gram-negative,Unknown,Unknown
10.1016/j.carbon.2021.10.020,2021,Carbon NPs,Carbon source,Hydrothermal,7.0,Unknown,P. aeruginosa ,20.0,0.25,130.0,Yes,Gram-negative,Unknown,Unknown
10.1016/j.carbon.2021.10.020,2021,Carbon NPs,Carbon source,Hydrothermal,7.0,Unknown,Other,20.0,0.125,130.0,Yes,Gram-negative,Unknown,Unknown
10.1186/s12896-024-00907-9,2024,Carbon-plant NPs,Biopolymer,Ionic Getlation,500.73,Fruit,P. aeruginosa ,,3.125,3.125,Unknown,Gram-negative,MDR ,Unknown
10.1016/j.heliyon.2020.e03323,2020,Carbon-plant NPs,Cu salt + Plant extract,Green Synthesis,9.0,Leaf,E. coli ,11.0,256.0,130.0,Unknown,Gram-negative,Unknown,Unknown
10.1016/j.heliyon.2020.e03323,2020,CuO Nanocomposite,Cu salt + Plant extract,Green Synthesis,9.0,Leaf,P. aeruginosa ,12.0,256.0,130.0,Unknown,Gram-negative,Unknown,Unknown
10.1016/j.heliyon.2020.e03323,2020,CuO Nanocomposite,Cu salt + Plant extract,Green Synthesis,9.0,Leaf,Other,14.0,791.0,1500.0,Unknown,Gram-negative,Unknown,Unknown
10.1016/j.heliyon.2020.e03323,2020,CuO Nanocomposite,Cu salt + Plant extract,Green Synthesis,9.0,Leaf,S. aureus ,11.0,256.0,130.0,Unknown,Gram-positive,Unknown,Unknown
10.1016/j.heliyon.2020.e03323,2020,CuO Nanocomposite,Cu salt + Plant extract,Green Synthesis,9.0,Leaf,Other,13.0,256.0,130.0,Unknown,Fungus,Unknown,Unknown
10.1016/j.heliyon.2020.e03323,2020,CuO Nanocomposite,Cu salt + Plant extract,Green Synthesis,9.0,Leaf,Other,14.0,873.0,130.0,Unknown,Fungus,Unknown,Unknown
10.1038/s41598-020-79547-w,2021,Others,Zn+Cu salt + Plant extract,Green Synthesis,7.8,Leaf,S. aureus ,6.67,625.0,2500.0,Yes ,Gram-positive,Non-MDR,Unknown
10.1038/s41598-020-79547-w,2021,Others,Zn+Cu salt + Plant extract,Green Synthesis,7.8,Leaf,E. coli ,,625.0,2500.0,Yes ,Gram-negative,Non-MDR,Unknown
10.1038/s41598-020-79547-w,2021,Others,Zn+Cu salt + Plant extract,Green Synthesis,7.8,Leaf,P. aeruginosa ,,156.25,312.5,Yes ,Gram-negative,MDR,Unknown
10.1038/s41598-020-79547-w,2021,Others,Zn+Cu salt + Plant extract,Green Synthesis,7.8,Leaf,Other,,625.0,1250.0,Yes ,Gram-negative,MDR,Unknown
10.1038/s41598-020-79547-w,2021,Others,Zn+Cu salt + Plant extract,Green Synthesis,7.8,Leaf,Other,,156.25,312.5,Yes ,Gram-positive,MDR,Unknown
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,25.3,Fruit,Other,,500.0,130.0,No,Gram-positive,Unknown,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,25.3,Fruit,E. coli ,,1000.0,130.0,No,Gram-negative,Unknown,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,25.3,Fruit,Other,,500.0,130.0,No,Gram-positive,Unknown,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,25.3,Fruit,Other,,2000.0,130.0,No,Gram-negative,Unknown,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,25.3,Fruit,S. aureus ,,2000.0,130.0,No,Gram-positive,Unknown,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,25.3,Fruit,Other,,2000.0,130.0,No,Gram-positive,MRSA,No
