DOI ,YEAR,MATERIAL,PRECURSOR,Synthesis_Method,Size_nm,Plant Extract Type,More about Plant Extract Type,Bacterial Strain,Inhibition Zone (mm),MIC(ug/ml),MBC,ROS Generation,Gram Status,Resistant Strain ,Resistant Type,IZ_Censored
10.1016/j.carbon.2021.10.020,2021,Carbon NPs,Carbon source,Hydrothermal,7,None,,S. aureus ,20,0.125,,Yes,Gram-positive,No,,
10.1016/j.carbon.2021.10.020,2021,Carbon NPs,Carbon source,Hydrothermal,7,None,,Other,20,0.5,,Yes,Gram-positive,No,,
10.1016/j.carbon.2021.10.020,2021,Carbon NPs,Carbon source,Hydrothermal,7,None,,Other,20,0.5,,Yes,Gram-positive,No,,
10.1016/j.carbon.2021.10.020,2021,Carbon NPs,Carbon source,Hydrothermal,7,None,,Other,20,0.5,,Yes,Gram-positive,No,,
10.1016/j.carbon.2021.10.020,2021,Carbon NPs,Carbon source,Hydrothermal,7,None,,Other,20,0.25,,Yes,Gram-positive,Yes,MRSA,
10.1016/j.carbon.2021.10.020,2021,Carbon NPs,Carbon source,Hydrothermal,7,None,,E. coli ,20,0.125,,Yes,Gram-negative,No,,
10.1016/j.carbon.2021.10.020,2021,Carbon NPs,Carbon source,Hydrothermal,7,None,,P. aeruginosa ,20,0.25,,Yes,Gram-negative,No,,
10.1016/j.carbon.2021.10.020,2021,Carbon NPs,Carbon source,Hydrothermal,7,None,,Other,20,0.125,,Yes,Gram-negative,No,,
10.1186/s12896-024-00907-9,2024,Carbon-plant NPs,Biopolymer,Ionic Getlation,500.73,Fruit,"Phyllanthus emblica (Amla / Indian gooseberry); tannins, polyphenols, gallic acid, quercetin, ascorbic acid, emblicanins",P. aeruginosa ,,3.125,3.125,,Gram-negative,Yes,MDR ,
10.1016/j.heliyon.2020.e03323,2020,Carbon-plant NPs,Cu salt + Plant extract,Green Synthesis,9,Leaf," Adhatoda vasica Nees (Malabar nut tree); alkaloids (vasicine, vasicinone), tannins, saponins, phenols, sugars, amino acids",E. coli ,11,,,,Gram-negative,No,,
10.1016/j.heliyon.2020.e03323,2020,CuO Nanocomposite,Cu salt + Plant extract,Green Synthesis,9,Leaf," Adhatoda vasica Nees (Malabar nut tree); alkaloids (vasicine, vasicinone), tannins, saponins, phenols, sugars, amino acids",P. aeruginosa ,12,,,,Gram-negative,No,,
10.1016/j.heliyon.2020.e03323,2020,CuO Nanocomposite,Cu salt + Plant extract,Green Synthesis,9,Leaf," Adhatoda vasica Nees (Malabar nut tree); alkaloids (vasicine, vasicinone), tannins, saponins, phenols, sugars, amino acids",Other,14,791,1500,,Gram-negative,No,,
10.1016/j.heliyon.2020.e03323,2020,CuO Nanocomposite,Cu salt + Plant extract,Green Synthesis,9,Leaf," Adhatoda vasica Nees (Malabar nut tree); alkaloids (vasicine, vasicinone), tannins, saponins, phenols, sugars, amino acids",S. aureus ,11,NR,NR,,Gram-positive,No,,
10.1016/j.heliyon.2020.e03323,2020,CuO Nanocomposite,Cu salt + Plant extract,Green Synthesis,9,Leaf," Adhatoda vasica Nees (Malabar nut tree); alkaloids (vasicine, vasicinone), tannins, saponins, phenols, sugars, amino acids",Other,13,NR,NR,,Fungus,No,,
10.1016/j.heliyon.2020.e03323,2020,CuO Nanocomposite,Cu salt + Plant extract,Green Synthesis,9,Leaf," Adhatoda vasica Nees (Malabar nut tree); alkaloids (vasicine, vasicinone), tannins, saponins, phenols, sugars, amino acids",Other,14,873,,,Fungus,No,,
10.1038/s41598-020-79547-w,2021,Others,Zn+Cu salt + Plant extract,Green Synthesis,7.8,Leaf," Adhatoda vasica Nees (Malabar nut tree); alkaloids (vasicine, vasicinone), tannins, saponins, phenols, sugars, amino acids",S. aureus ,6.67,625,2500,Yes ,Gram-positive,Yes,Non-MDR,
10.1038/s41598-020-79547-w,2021,Others,Zn+Cu salt + Plant extract,Green Synthesis,7.8,Leaf," Adhatoda vasica Nees (Malabar nut tree); alkaloids (vasicine, vasicinone), tannins, saponins, phenols, sugars, amino acids",E. coli ,,625,2500,Yes ,Gram-negative,Yes,Non-MDR,
10.1038/s41598-020-79547-w,2021,Others,Zn+Cu salt + Plant extract,Green Synthesis,7.8,Leaf," Adhatoda vasica Nees (Malabar nut tree); alkaloids (vasicine, vasicinone), tannins, saponins, phenols, sugars, amino acids",P. aeruginosa ,,156.25,312.5,Yes ,Gram-negative,Yes,MDR,
10.1038/s41598-020-79547-w,2021,Others,Zn+Cu salt + Plant extract,Green Synthesis,7.8,Leaf," Adhatoda vasica Nees (Malabar nut tree); alkaloids (vasicine, vasicinone), tannins, saponins, phenols, sugars, amino acids",Other,,625,1250,Yes ,Gram-negative,Yes,MDR,
10.1038/s41598-020-79547-w,2021,Others,Zn+Cu salt + Plant extract,Green Synthesis,7.8,Leaf," Adhatoda vasica Nees (Malabar nut tree); alkaloids (vasicine, vasicinone), tannins, saponins, phenols, sugars, amino acids",Other,,156.25,312.5,Yes ,Gram-positive,Yes,MDR,
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Punica granatum (pomegranate) peel,Other,,500,,No,Gram-positive,No,,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Punica granatum (pomegranate) peel,E. coli ,,1000,,No,Gram-negative,No,,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Punica granatum (pomegranate) peel,Other,,500,,No,Gram-positive,No,,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Punica granatum (pomegranate) peel,Other,,2000,,No,Gram-negative,No,,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Punica granatum (pomegranate) peel,S. aureus ,,2000,,No,Gram-positive,No,,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Punica granatum (pomegranate) peel,Other,,2000,,No,Gram-positive,Yes,MRSA,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Punica granatum (pomegranate) peel,Other,,4000,,No,Gram-negative,No,,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Punica granatum (pomegranate) peel,Other,,250,,No,Gram-negative,No,,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Vaccinium corymbosum (blueberry) pomace,Other,,400,500,No,Gram-negative,No,,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Rubus fruticosus (blackberry) pomace,Other,,600,800,No,Gram-negative,No,,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Syzygium cumini (jambolan) fruit pulp,E. coli ,16.7,2000,,No,Gram-negative,No,,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Syzygium cumini (jambolan) fruit pulp,S. aureus ,23,500,,No,Gram-positive,No,,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Syzygium cumini (jambolan) fruit pulp,Other,16,2000,,No,Gram-positive,Yes,MRSA,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Syzygium cumini (jambolan) fruit pulp,Other,15.3,2000,,No,Gram-negative,No,,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Vitis vinifera (grape) pomace,E. coli ,,300,,No,Gram-negative,No,,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Vitis vinifera (grape) pomace,Other,,1500,,No,Gram-positive,Yes,MRSA,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Vitis vinifera (grape) pomace,S. aureus ,,600,,No,Gram-positive,No,,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Punica granatum (pomegranate) peel,E. coli ,,50000,,No,Gram-negative,No,,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Punica granatum (pomegranate) peel,Other,,50000,,No,Gram-positive,No,,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Punica granatum (pomegranate) peel,Other,,20000,,No,Gram-positive,No,,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Punica granatum (pomegranate) peel,P. aeruginosa ,,40000,,No,Gram-negative,No,,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Punica granatum (pomegranate) peel,S. aureus ,,50000,,No,Gram-positive,No,,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Sambucus nigra (elderberry) whole fruit,Other,,7810,,No,Gram-positive,No,,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Sambucus nigra (elderberry) whole fruit,S. aureus ,,7810,,No,Gram-positive,No,,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Sambucus nigra (elderberry) whole fruit,E. coli ,,7810,,No,Gram-negative,No,,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Vitis vinifera (Italian red grape) skin,Other,,7810,,No,Gram-positive,No,,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Vitis vinifera (Italian red grape) skin,S. aureus ,,7810,,No,Gram-positive,No,,No
10.1016/j.micpath.2019.03.025,2019,Plant extract,Plant extract,Extraction,,Fruit,Vitis vinifera (Italian red grape) skin,E. coli ,,7810,,No,Gram-negative,No,,No
10.5897/AJMR10.159,2011,ZnO NPs,Metal oxide commercial,Chemical,3,None,None,E. coli ,19,1000,16000,No,Gram-negative,No,,No
